k,scenario,auroc_mean,auroc_std,aupr_mean,aupr_std,architecture
2,near_ood,0.762941916863219,0.0035457835846838264,0.4179006128418778,0.0058328274663238784,vit
2,far_ood,0.9996699956937958,0.00011713899699409598,0.9908740680931392,0.003928141751686935,vit
5,near_ood,0.7634511678720511,0.003577859362474641,0.4187135328496356,0.005852019618030576,vit
5,far_ood,0.9996720022830526,0.00011672631989402382,0.9909231285800768,0.003911367465673753,vit
10,near_ood,0.7645475010564964,0.003502101324307854,0.4197257690273055,0.005858959927605788,vit
10,far_ood,0.999673117054862,0.00011680369798861493,0.9909506370277306,0.003910950625932198,vit
20,near_ood,0.7665517179140933,0.0034813409456972504,0.42187742302149384,0.005896263785046927,vit
20,far_ood,0.9996732126067313,0.00011644893379802731,0.9909645924233731,0.0038889020391639382,vit
30,near_ood,0.768405160225444,0.003584984436260059,0.4236891401399815,0.005926166823311018,vit
30,far_ood,0.9996763339677978,0.00011822152652045337,0.9910293980209953,0.00395553574685019,vit
2,near_ood,0.8006474782979961,0.003570639241398215,0.4854605619247884,0.012379381430711303,cnn
2,far_ood,0.9999308204465713,0.00010439868330899817,0.9965650075287373,0.006096664810677001,cnn
5,near_ood,0.8006447730031491,0.003571802622029488,0.48551986020384297,0.01237204489627799,cnn
5,far_ood,0.9999308204465713,0.00010439868330899817,0.9965650075287373,0.006096664810677001,cnn
10,near_ood,0.8008628562810038,0.0035938133134941533,0.48577421326005676,0.012388316187892177,cnn
10,far_ood,0.9999308522971944,0.00010433457873741946,0.9965655798508823,0.0060954150765132244,cnn
20,near_ood,0.8012754054467294,0.003632926463557988,0.48612253183362997,0.01263911802239872,cnn
20,far_ood,0.9999308841478175,0.00010441030685449465,0.9965660717761832,0.006097072806256025,cnn
30,near_ood,0.8014719957379158,0.0036142635075929485,0.48620363154286145,0.012392503878693974,cnn
30,far_ood,0.9999308522971944,0.00010438470176080181,0.9965655489167695,0.0060967081360145505,cnn
