n_components,scenario,auroc_mean,auroc_std,architecture,reductor
8,near_ood,0.5762229395310586,0.01976321638158034,vit,pca
8,far_ood,0.5813639137536086,0.008345788625173123,vit,pca
16,near_ood,0.5977661401230702,0.013487141492056317,vit,pca
16,far_ood,0.6135476943970932,0.006141081038413022,vit,pca
32,near_ood,0.6143926747918178,0.010404316717219267,vit,pca
32,far_ood,0.8044618582417946,0.009093505104249508,vit,pca
64,near_ood,0.6790103267992025,0.002883800179544506,vit,pca
64,far_ood,0.9800710014090717,0.0053495327481472505,vit,pca
128,near_ood,0.7364642418732756,0.0035676201154586982,vit,pca
128,far_ood,0.9986913534476388,0.00028698758251103766,vit,pca
256,near_ood,0.7690359918318352,0.002448128350873275,vit,pca
256,far_ood,0.9999977067551351,1.672536845230164e-06,vit,pca
512,near_ood,0.786290395560163,0.0027652663053637488,vit,pca
512,far_ood,0.9999990763319294,1.8890131723953308e-06,vit,pca
8,near_ood,0.6108059683285489,0.004639918067626854,vit,random_subspace
8,far_ood,0.8976945881969236,0.006388206709143558,vit,random_subspace
16,near_ood,0.6184721847351249,0.006304144933049159,vit,random_subspace
16,far_ood,0.9054467750607074,0.010699581397754033,vit,random_subspace
32,near_ood,0.6595451079908475,0.003968425356752423,vit,random_subspace
32,far_ood,0.9975932076635147,0.00031052705762877795,vit,random_subspace
64,near_ood,0.7083828747367574,0.0031590158852001777,vit,random_subspace
64,far_ood,0.9999888841325293,1.189206046419001e-05,vit,random_subspace
128,near_ood,0.6979127944886672,0.003312397071183352,vit,random_subspace
128,far_ood,0.9998796046445854,8.177015567805301e-05,vit,random_subspace
256,near_ood,0.7705357126927082,0.0028639572742657875,vit,random_subspace
256,far_ood,0.9999998725975076,2.0764065887658815e-07,vit,random_subspace
512,near_ood,0.7991249201014817,0.002455847715257031,vit,random_subspace
512,far_ood,0.9999991400331755,1.3305023590968618e-06,vit,random_subspace
8,near_ood,0.6056598336534115,0.009779043199575128,cnn,pca
8,far_ood,0.5974866354785364,0.021405254909421752,cnn,pca
16,near_ood,0.5299600989756186,0.01738585760271375,cnn,pca
16,far_ood,0.638145675832002,0.10162357138281482,cnn,pca
32,near_ood,0.548292263956282,0.004953773880313671,cnn,pca
32,far_ood,0.6634987399893493,0.01797414117538883,cnn,pca
64,near_ood,0.7304209119291678,0.006105748125680781,cnn,pca
64,far_ood,0.9043400933095855,0.012938031568560071,cnn,pca
128,near_ood,0.8157007678348741,0.003130045200455309,cnn,pca
128,far_ood,0.9763880501558132,0.002227770228403623,cnn,pca
256,near_ood,0.8406563410430777,0.002496150804205699,cnn,pca
256,far_ood,0.9984110042628874,0.0003383631688461069,cnn,pca
512,near_ood,0.8391307124198967,0.002162971373986339,cnn,pca
512,far_ood,0.9999521603640653,3.991453069034407e-05,cnn,pca
8,near_ood,0.5182299529664575,0.013558988726664833,cnn,random_subspace
8,far_ood,0.520434818336786,0.033845053032257565,cnn,random_subspace
16,near_ood,0.6342741936655023,0.004876629016988922,cnn,random_subspace
16,far_ood,0.7547230970526707,0.007720893485464505,cnn,random_subspace
32,near_ood,0.6341339830466806,0.003653353304577685,cnn,random_subspace
32,far_ood,0.9825437882366732,0.001626618729040944,cnn,random_subspace
64,near_ood,0.7847229925374111,0.0027142434290099928,cnn,random_subspace
64,far_ood,0.9920706918210147,0.0006624914737548927,cnn,random_subspace
128,near_ood,0.7115108760528919,0.0027319328748004897,cnn,random_subspace
128,far_ood,0.9986039234871591,0.0002911968933927787,cnn,random_subspace
256,near_ood,0.7410151121006552,0.0051250896136329285,cnn,random_subspace
256,far_ood,0.997756346555164,0.0004425509641601225,cnn,random_subspace
512,near_ood,0.7587433822450919,0.0037986401035228715,cnn,random_subspace
512,far_ood,0.9997801988498104,0.00010030420667265113,cnn,random_subspace
